
Entries	DB

8184	ChEBI
726635	ChEMBL
3287	EC
81	EFO
7178	Linnean
316	MeSH
421	OMIM
35112	PDB
469	PDBeChem
246257	UniProt

Accessions	DB

8184	ChEBI
307064	UniProt

Xrefs	DB

604446	ChEBI
1789324	ChEMBL
259633	EC
188	EFO
246257	Linnean
552	MeSH
517	OMIM
37208	PDB
470	PDBeChem
2936743	UniProt
